sequence,seq_num,run,seed,project,seq_label,m1,m2,m3,T0,C1,C2,C3,gain,time_min,tokens,cost,requests,flagged
sequence_01,1,run_01,367,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,80.31,80.96,80.96,24.93999999999999,15.855618631839752,494647,0.51403571,50,False
sequence_01,1,run_01,367,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,83.64,84.0,96.73,22.55,22.17006259361903,251346,0.44213445,29,False
sequence_01,1,run_01,367,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.5,82.5,82.87,4.6000000000000085,19.989505441983543,1064865,0.809339778,58,False
sequence_01,1,run_01,367,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,93.22,95.59,95.59,30.510000000000005,19.55538376569748,420078,0.4926544949999999,44,False
sequence_01,1,run_01,367,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,80.65,80.65,80.65,0.0,10.200357548395791,34582,0.06701121,6,False
sequence_01,1,run_01,450,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,79.43,80.31,80.96,24.93999999999999,20.170145122210183,507612,0.5377325316,49,False
sequence_01,1,run_01,450,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,96.0,96.0,96.36,22.179999999999996,25.009785958131157,262523,0.4805192659999999,32,False
sequence_01,1,run_01,450,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.32,82.87,82.87,4.6000000000000085,21.467797088623048,1082560,0.835976516,67,False
sequence_01,1,run_01,450,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,94.24,95.59,95.59,30.510000000000005,22.028784076372784,470988,0.714288706,46,False
sequence_01,1,run_01,450,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,80.65,100.0,100.0,19.349999999999994,4.539803234736125,13478,0.01552649,4,False
sequence_01,1,run_01,767,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,80.96,80.96,80.96,24.93999999999999,22.385113461812335,595459,0.67629097,70,False
sequence_01,1,run_01,767,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,90.18,96.0,96.0,21.819999999999997,17.077646895249686,202683,0.26431558,23,False
sequence_01,1,run_01,767,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,81.95,82.5,82.87,4.6000000000000085,21.8279730796814,1081510,0.8771586368,57,False
sequence_01,1,run_01,767,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,92.54,95.59,95.59,30.510000000000005,14.765414440631869,425793,0.5112784260000001,44,False
sequence_01,1,run_01,767,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,100.0,100.0,100.0,19.349999999999994,3.787104165554047,10613,0.01252695,2,False
sequence_01,1,run_02,367,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,79.87,80.31,80.96,24.93999999999999,28.626973291238148,542102,0.6443341699999999,49,False
sequence_01,1,run_02,367,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,86.18,96.36,96.36,22.179999999999996,20.618456220626832,260996,0.360264604,31,False
sequence_01,1,run_02,367,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.5,82.5,82.87,4.6000000000000085,45.17586555480957,1052856,0.7082679059999999,60,False
sequence_01,1,run_02,367,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,95.59,95.59,95.59,30.510000000000005,21.776207156976064,452379,0.6220212220000001,43,False
sequence_01,1,run_02,367,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,80.65,80.65,100.0,19.349999999999994,7.725481164455414,26914,0.0386579799999999,7,False
sequence_01,1,run_02,450,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,80.96,80.96,80.96,24.93999999999999,20.67609821955363,496204,0.5478912140000001,50,False
sequence_01,1,run_02,450,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,82.91,83.64,95.64,21.459999999999997,16.86883783340454,269952,0.4589130099999999,37,False
sequence_01,1,run_02,450,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.14,82.87,82.87,4.6000000000000085,24.77415466705958,1094882,0.8111224756,64,False
sequence_01,1,run_02,450,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,92.2,95.59,95.59,30.510000000000005,23.35200344324112,397695,0.482111649,41,False
sequence_01,1,run_02,450,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,80.65,100.0,100.0,19.349999999999994,6.086094645659129,21144,0.02750975,4,False
sequence_01,1,run_02,767,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,79.21,79.21,80.96,24.93999999999999,17.83431879679362,554987,0.58006967,53,False
sequence_01,1,run_02,767,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,95.64,95.64,95.64,21.459999999999997,26.77852073510488,274770,0.4540275716,30,False
sequence_01,1,run_02,767,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,81.77,82.87,82.87,4.6000000000000085,20.767866702874503,1074347,0.8770042,70,False
sequence_01,1,run_02,767,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,86.78,92.88,95.59,30.510000000000005,27.37862555583318,460542,0.6326679596,42,False
sequence_01,1,run_02,767,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,100.0,100.0,100.0,19.349999999999994,5.747739644845327,11474,0.0145872,2,False
sequence_01,1,run_03,367,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,80.53,80.96,80.96,24.93999999999999,18.67107303539912,484647,0.478704436,46,False
sequence_01,1,run_03,367,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,96.0,96.0,96.0,21.819999999999997,21.853664048512776,263952,0.5136098,30,False
sequence_01,1,run_03,367,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.14,82.5,82.87,4.6000000000000085,33.74476728439331,1149173,1.00831486,66,False
sequence_01,1,run_03,367,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,92.54,93.22,93.56,28.480000000000004,24.107470031579336,446171,0.583943926,45,False
sequence_01,1,run_03,367,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,80.65,80.65,100.0,19.349999999999994,8.989618420600891,35887,0.04836311,7,False
sequence_01,1,run_03,450,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,80.31,80.96,80.96,24.93999999999999,22.47243882815043,557296,0.6713758091999998,57,False
sequence_01,1,run_03,450,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,95.64,96.0,96.36,22.179999999999996,25.639336653550465,264470,0.4122155144,31,False
sequence_01,1,run_03,450,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.5,82.87,82.87,4.6000000000000085,18.87197914123535,1057314,0.9247452451,64,False
sequence_01,1,run_03,450,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,95.59,95.59,95.59,30.510000000000005,32.350758437315626,449902,0.590000264,44,False
sequence_01,1,run_03,450,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,80.65,80.65,100.0,19.349999999999994,10.66325835386912,26027,0.03449148,6,False
sequence_01,1,run_03,767,features-service,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,56.02,80.31,80.31,80.96,24.93999999999999,56.51724853515625,527538,0.5118206595,45,False
sequence_01,1,run_03,767,ncs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,74.18,92.73,95.64,95.64,21.459999999999997,26.357872494061787,244407,0.4358194916,25,False
sequence_01,1,run_03,767,restcountries,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,78.27,82.32,82.87,82.87,4.6000000000000085,23.377079820632936,996497,0.7277386020000001,53,False
sequence_01,1,run_03,767,scs,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,65.08,91.53,93.9,95.59,30.510000000000005,18.971671831607814,423376,0.5380533,45,False
sequence_01,1,run_03,767,spring-actuator-demo,qwen -> gpt5mini -> glm,qwen,gpt5mini,glm,80.65,100.0,100.0,100.0,19.349999999999994,3.4046465158462524,6036,0.00620163,2,False
sequence_02,2,run_01,367,features-service,qwen -> glm -> gpt5mini,qwen,glm,gpt5mini,56.02,80.31,80.31,80.31,24.29,33.90265777111053,515797,0.51663996,43,False
sequence_02,2,run_01,367,ncs,qwen -> glm -> gpt5mini,qwen,glm,gpt5mini,74.18,95.64,96.0,96.0,21.819999999999997,23.19220147530238,242403,0.37800222,29,False
sequence_02,2,run_01,367,restcountries,qwen -> glm -> gpt5mini,qwen,glm,gpt5mini,78.27,82.14,82.5,82.5,4.230000000000004,23.283220398426057,1111869,0.9479281249999998,65,False
sequence_02,2,run_01,367,scs,qwen -> glm -> gpt5mini,qwen,glm,gpt5mini,65.08,93.9,95.59,95.59,30.510000000000005,35.27703709602356,459411,0.542367106,43,False
sequence_02,2,run_01,367,spring-actuator-demo,qwen -> glm -> gpt5mini,qwen,glm,gpt5mini,80.65,80.65,80.65,80.65,0.0,13.022478179136913,29864,0.03876353,6,False
