sequence,seq_num,run,seed,project,position,model,init,fin,gain,tokens,cost,requests,time_min,flagged
sequence_01,1,run_01,367,features-service,1,qwen,56.02,80.31,24.29,272048,0.22117594,24,7.13864885965983,False
sequence_01,1,run_01,367,features-service,2,gpt5mini,80.31,80.96,0.6499999999999915,119817,0.10522175,14,3.961840705076853,False
sequence_01,1,run_01,367,features-service,3,glm,80.96,80.96,0.0,102782,0.18763802,12,4.755129067103068,False
sequence_01,1,run_01,367,ncs,1,qwen,74.18,83.64,9.459999999999994,117972,0.12530924,10,13.106050992012024,False
sequence_01,1,run_01,367,ncs,2,gpt5mini,83.64,84.0,0.3599999999999994,58236,0.0631241,11,3.380277192592621,False
sequence_01,1,run_01,367,ncs,3,glm,84.0,96.73,12.730000000000004,75138,0.25370111,8,5.683734409014384,False
sequence_01,1,run_01,367,restcountries,1,qwen,78.27,82.5,4.230000000000004,410813,0.2157475999999999,19,6.450139677524566,False
sequence_01,1,run_01,367,restcountries,2,gpt5mini,82.5,82.5,0.0,321354,0.176851,19,4.940048897266388,False
sequence_01,1,run_01,367,restcountries,3,glm,82.5,82.87,0.3700000000000045,332698,0.416741178,20,8.599316867192586,False
sequence_01,1,run_01,367,scs,1,qwen,65.08,93.22,28.14,179967,0.15567904,14,8.432376555601756,False
sequence_01,1,run_01,367,scs,2,gpt5mini,93.22,95.59,2.3700000000000045,128559,0.11814875,16,3.0571001768112183,False
sequence_01,1,run_01,367,scs,3,glm,95.59,95.59,0.0,111552,0.2188267049999999,14,8.065907033284505,False
sequence_01,1,run_01,367,spring-actuator-demo,1,qwen,80.65,80.65,0.0,8289,0.00900351,2,2.614660135904948,False
sequence_01,1,run_01,367,spring-actuator-demo,2,gpt5mini,80.65,80.65,0.0,9771,0.01201175,2,2.2231343666712444,False
sequence_01,1,run_01,367,spring-actuator-demo,3,glm,80.65,80.65,0.0,16522,0.04599595,2,5.3625630458196,False
sequence_01,1,run_01,450,features-service,1,qwen,56.02,79.43,23.410000000000004,270663,0.21830084,23,8.117616327603658,False
sequence_01,1,run_01,450,features-service,2,gpt5mini,79.43,80.31,0.8799999999999955,116189,0.09369925,14,3.733269091447194,False
sequence_01,1,run_01,450,features-service,3,glm,80.31,80.96,0.6499999999999915,120760,0.2257324415999999,12,8.319259703159332,False
sequence_01,1,run_01,450,ncs,1,qwen,74.18,96.0,21.819999999999997,106652,0.1122098799999999,11,7.706037231286367,False
sequence_01,1,run_01,450,ncs,2,gpt5mini,96.0,96.0,0.0,63023,0.07386275,11,2.9574834942817687,False
sequence_01,1,run_01,450,ncs,3,glm,96.0,96.36,0.3599999999999994,92848,0.2944466359999999,10,14.346265232563018,False
sequence_01,1,run_01,450,restcountries,1,qwen,78.27,82.32,4.049999999999997,414931,0.2178684299999999,17,7.250396951039632,False
sequence_01,1,run_01,450,restcountries,2,gpt5mini,82.32,82.87,0.5500000000000114,350812,0.22093225,31,5.246504863103231,False
sequence_01,1,run_01,450,restcountries,3,glm,82.87,82.87,0.0,316817,0.3971758359999999,19,8.970895274480183,False
sequence_01,1,run_01,450,scs,1,qwen,65.08,94.24,29.16,185988,0.160166978,15,8.307221647103628,False
sequence_01,1,run_01,450,scs,2,gpt5mini,94.24,95.59,1.3500000000000083,118667,0.10574625,14,2.3184927543004354,False
sequence_01,1,run_01,450,scs,3,glm,95.59,95.59,0.0,166333,0.448375478,17,11.40306967496872,False
sequence_01,1,run_01,450,spring-actuator-demo,1,qwen,80.65,80.65,0.0,7123,0.00747324,2,2.1420871376991277,False
sequence_01,1,run_01,450,spring-actuator-demo,2,gpt5mini,80.65,100.0,19.349999999999994,6355,0.00805325,2,2.397535526752472,False
sequence_01,1,run_01,450,spring-actuator-demo,3,glm,100.0,100.0,0.0,0,0.0,0,0.0001805702845255,False
sequence_01,1,run_01,767,features-service,1,qwen,56.02,80.96,24.93999999999999,344139,0.30060067,39,10.947668464978536,False
sequence_01,1,run_01,767,features-service,2,gpt5mini,80.96,80.96,0.0,138044,0.1293505,20,4.211662185192108,False
sequence_01,1,run_01,767,features-service,3,glm,80.96,80.96,0.0,113276,0.2463398,11,7.225782811641693,False
sequence_01,1,run_01,767,ncs,1,qwen,74.18,90.18,16.0,102432,0.1131475199999999,5,8.545069221655528,False
sequence_01,1,run_01,767,ncs,2,gpt5mini,90.18,96.0,5.819999999999993,53861,0.0585015,10,2.17123118241628,False
