GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.jacoco.examples.maven,org.restscs.imp,Cookie,3,55,0,12,1,13,1,7,1,1
org.jacoco.examples.maven,org.restscs.imp,Ordered4,3,65,6,22,1,10,7,9,1,1
org.jacoco.examples.maven,org.restscs.imp,Costfuns,3,100,1,19,1,24,2,10,1,1
org.jacoco.examples.maven,org.restscs.imp,Regex,5,99,1,5,2,15,2,3,1,1
org.jacoco.examples.maven,org.restscs.imp,Text2Txt,3,73,4,18,1,19,5,8,1,1
org.jacoco.examples.maven,org.restscs.imp,NotyPevar,3,50,0,8,1,14,1,5,1,1
org.jacoco.examples.maven,org.restscs.imp,Calc,3,103,0,22,1,25,1,12,1,1
org.jacoco.examples.maven,org.restscs.imp,FileSuffix,3,82,5,17,1,24,6,7,1,1
org.jacoco.examples.maven,org.restscs.imp,Title,3,109,8,34,1,28,9,14,1,1
org.jacoco.examples.maven,org.restscs.imp,Pat,5,211,3,29,2,38,4,15,1,2
org.jacoco.examples.maven,org.restscs.imp,DateParse,3,107,1,37,1,36,2,19,1,1
org.jacoco.examples.maven,org.restscs,ScsApplication,0,32,0,0,0,13,0,4,0,4
org.jacoco.examples.maven,org.restscs,ScsRest,0,86,0,0,0,23,0,12,0,12
